Number of Hotels,,Comment_Text,Name,Rating,Positive Polarity Scores,Negative Polarity Scores,Neutral Polarity Scores,CompoundPolarityScores
1717,16,Good staycation!,Hotel Carlton City Hotel Singapore (SG Clean),10,0.761,0,0.239,0.4926
1718,17,Good,Hotel Carlton City Hotel Singapore (SG Clean),7.9,1,0,0,0.4404
1719,18,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1720,19,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1721,20,"Great location, great staff, great amenities. Bit pricey and okay food. Would recommend it.",Hotel Carlton City Hotel Singapore (SG Clean),9,0.65,0,0.35,0.9493
1722,21,It was a great stay.. excellent location and service,Hotel Carlton City Hotel Singapore (SG Clean),8,0.565,0,0.435,0.8316
1723,22,Carton City is the best!,Hotel Carlton City Hotel Singapore (SG Clean),9,0.529,0,0.471,0.6696
1724,23,Good,Hotel Carlton City Hotel Singapore (SG Clean),7.9,1,0,0,0.4404
1725,24,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1726,25,Good,Hotel Carlton City Hotel Singapore (SG Clean),7,1,0,0,0.4404
1727,26,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8,0.762,0,0.238,0.4927
1728,27,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8,0.762,0,0.238,0.4927
1729,28,Nice room - comfy stay,Hotel Carlton City Hotel Singapore (SG Clean),8,0.483,0,0.517,0.4215
1730,29,Really enjoyable stay with great facilities and excellent staff.,Hotel Carlton City Hotel Singapore (SG Clean),9,0.647,0,0.353,0.8999
1731,30,Excellent,Hotel Carlton City Hotel Singapore (SG Clean),8.8,1,0,0,0.5719
1732,31,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),9.6,0,0,1,0
1733,32,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1734,33,Excellent,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.5719
1735,34,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1736,35,Perfect.,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.5719
1737,36,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8,0.762,0,0.238,0.4927
1738,37,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),9.6,0,0,1,0
1739,38,Situated at the heart of Singapore,Hotel Carlton City Hotel Singapore (SG Clean),9.2,0,0,1,0
1740,39,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1741,40,Good,Hotel Carlton City Hotel Singapore (SG Clean),7,1,0,0,0.4404
1742,41,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1743,42,Good,Hotel Carlton City Hotel Singapore (SG Clean),7,1,0,0,0.4404
1744,43,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1745,44,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1746,45,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1747,46,Great stay,Hotel Carlton City Hotel Singapore (SG Clean),9,0.804,0,0.196,0.6249
1748,47,"Great location, quiet, very clean and comfortable",Hotel Carlton City Hotel Singapore (SG Clean),10,0.727,0,0.273,0.8923
1749,48,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1750,49,Excellent value,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.7269
1751,50,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1752,51,Visit Singapore regularly and have tried many hotels. Will definately stay here again.,Hotel Carlton City Hotel Singapore (SG Clean),8,0,0,1,0
1753,52,"Good hotel for business, Downtown",Hotel Carlton City Hotel Singapore (SG Clean),8.3,0.42,0,0.58,0.4404
1754,53,Visiting Singapore a Third Time,Hotel Carlton City Hotel Singapore (SG Clean),9.2,0,0,1,0
1755,54,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1756,55,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1757,56,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9.2,1,0,0,0.5719
1758,57,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1759,58,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9.2,1,0,0,0.5719
1760,59,Great location,Hotel Carlton City Hotel Singapore (SG Clean),9.6,0.804,0,0.196,0.6249
1761,60,Good,Hotel Carlton City Hotel Singapore (SG Clean),7.5,1,0,0,0.4404
1762,61,"Comfortable, Central and efficient",Hotel Carlton City Hotel Singapore (SG Clean),9,0.753,0,0.247,0.7269
1763,62,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8.3,0.762,0,0.238,0.4927
1764,63,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1765,64,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8.3,0.762,0,0.238,0.4927
1766,65,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1767,66,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8,0.762,0,0.238,0.4927
1768,67,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1769,68,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8,0.762,0,0.238,0.4927
1770,69,Good,Hotel Carlton City Hotel Singapore (SG Clean),7.5,1,0,0,0.4404
1771,70,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1772,71,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1773,72,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1774,73,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1775,74,Good,Hotel Carlton City Hotel Singapore (SG Clean),7,1,0,0,0.4404
1776,75,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9.2,1,0,0,0.5719
1777,76,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1778,77,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),9.6,0,0,1,0
1779,78,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1780,79,Awesome,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.6249
1781,80,Great,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.6249
1782,81,Loved it!,Hotel Carlton City Hotel Singapore (SG Clean),10,0.807,0,0.193,0.636
1783,82,"Amazing stuff made my trip happier than ever, thank you.",Hotel Carlton City Hotel Singapore (SG Clean),10,0.581,0,0.419,0.8658
1784,83,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1785,84,Terrible!,Hotel Carlton City Hotel Singapore (SG Clean),1,0,1,0,-0.5255
1786,85,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1787,86,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1788,87,Perfect!!,Hotel Carlton City Hotel Singapore (SG Clean),10,1,0,0,0.6467
1789,88,We had a great time at Carlton and definitely stay here again!,Hotel Carlton City Hotel Singapore (SG Clean),10,0.441,0,0.559,0.7959
1790,89,Wonderful stay but disappointed at the end.,Hotel Carlton City Hotel Singapore (SG Clean),9,0.204,0.361,0.435,-0.4215
1791,90,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1792,91,Excellent,Hotel Carlton City Hotel Singapore (SG Clean),8.8,1,0,0,0.5719
1793,92,Very Good,Hotel Carlton City Hotel Singapore (SG Clean),8.3,0.762,0,0.238,0.4927
1794,93,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1795,94,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1796,95,Superb!,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.6588
1797,96,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9.2,1,0,0,0.5719
1798,97,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1799,98,Exceptional,Hotel Carlton City Hotel Singapore (SG Clean),10,0,0,1,0
1800,99,Wonderful,Hotel Carlton City Hotel Singapore (SG Clean),9,1,0,0,0.5719
1801,0,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1802,1,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1803,2,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1804,3,bad,Hotel Ibis Budget Singapore Ruby - SG Clean,1,0,1,0,-0.5423
1805,4,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1806,5,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1807,6,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1808,7,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1809,8,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1810,9,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1811,10,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1812,11,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1813,12,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1814,13,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1815,14,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1816,15,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1817,16,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1818,17,One word will do. Excellent.,Hotel Ibis Budget Singapore Ruby - SG Clean,9,0.481,0,0.519,0.5719
1819,18,Poor,Hotel Ibis Budget Singapore Ruby - SG Clean,3,0,1,0,-0.4767
1820,19,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1821,20,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1822,21,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1823,22,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1824,23,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1825,24,Pleasant and simple stay,Hotel Ibis Budget Singapore Ruby - SG Clean,6,0.524,0,0.476,0.5106
1826,25,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1827,26,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7,1,0,0,0.4404
1828,27,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1829,28,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7,1,0,0,0.4404
1830,29,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1831,30,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7,1,0,0,0.4404
1832,31,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1833,32,We expect the safety thats why we choose to stay inside than staying outside.,Hotel Ibis Budget Singapore Ruby - SG Clean,3,0.177,0,0.823,0.4215
1834,33,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1835,34,Very Poor,Hotel Ibis Budget Singapore Ruby - SG Clean,2,0,0.772,0.228,-0.5256
1836,35,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1837,36,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1838,37,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1839,38,Nice,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.4215
1840,39,It was nice,Hotel Ibis Budget Singapore Ruby - SG Clean,9,0.583,0,0.417,0.4215
1841,40,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1842,41,"OK,but a bit pricey for the size of the rooms. Great location near MRT and eating places.",Hotel Ibis Budget Singapore Ruby - SG Clean,6,0.215,0,0.785,0.6249
1843,42,Happy to see,Hotel Ibis Budget Singapore Ruby - SG Clean,9,0.649,0,0.351,0.5719
1844,43,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1845,44,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1846,45,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1847,46,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1848,47,Great! but....,Hotel Ibis Budget Singapore Ruby - SG Clean,7.5,0.815,0,0.185,0.6588
1849,48,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1850,49,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1851,50,Good choice for budget travelers in Singapore,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.326,0,0.674,0.4404
1852,51,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1853,52,cheapest hotel in singapure,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0,0,1,0
1854,53,Excellent,Hotel Ibis Budget Singapore Ruby - SG Clean,8.8,1,0,0,0.5719
1855,54,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1856,55,Fair,Hotel Ibis Budget Singapore Ruby - SG Clean,5,1,0,0,0.3182
1857,56,Good for short stay,Hotel Ibis Budget Singapore Ruby - SG Clean,7.1,0.492,0,0.508,0.4404
1858,57,Very Poor,Hotel Ibis Budget Singapore Ruby - SG Clean,2.5,0,0.772,0.228,-0.5256
1859,58,Poor,Hotel Ibis Budget Singapore Ruby - SG Clean,3,0,1,0,-0.4767
1860,59,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1861,60,"Not worth the Money, book something else",Hotel Ibis Budget Singapore Ruby - SG Clean,2,0,0.217,0.783,-0.1695
1862,61,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1863,62,Worth the money paid.,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.388,0,0.612,0.2263
1864,63,Crampy stay at a good location,Hotel Ibis Budget Singapore Ruby - SG Clean,6,0.42,0,0.58,0.4404
1865,64,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6.7,1,0,0,0.5106
1866,65,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7.9,1,0,0,0.4404
1867,66,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1868,67,It's near my conference place and that's all I need.,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0,0,1,0
1869,68,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6.2,1,0,0,0.5106
1870,69,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1871,70,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1872,71,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7.5,1,0,0,0.4404
1873,72,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1874,73,Overall is satisfy for the 2 night stay,Hotel Ibis Budget Singapore Ruby - SG Clean,7,0.333,0,0.667,0.4588
1875,74,Lack of hospitality.,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0,0.535,0.465,-0.3182
1876,75,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1877,76,There are better hotels within this Chain....,Hotel Ibis Budget Singapore Ruby - SG Clean,7,0.326,0,0.674,0.4404
1878,77,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1879,78,Good value for money. Would recommend if travelling on a budget.,Hotel Ibis Budget Singapore Ruby - SG Clean,7,0.527,0,0.473,0.7783
1880,79,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1881,80,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1882,81,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1883,82,"Excellent, well staffed, bed was a lil uncomfortable and small, in the middle of the Red Light area",Hotel Ibis Budget Singapore Ruby - SG Clean,9,0.259,0.116,0.625,0.4939
1884,83,Wouldn't go back,Hotel Ibis Budget Singapore Ruby - SG Clean,5.8,0,0,1,0
1885,84,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1886,85,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7.5,1,0,0,0.4404
1887,86,We could not sleep at night because the aircon blew directly into our face and body despite adjusting all levels of temp,Hotel Ibis Budget Singapore Ruby - SG Clean,5.8,0,0,1,0
1888,87,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1889,88,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1890,89,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1891,90,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1892,91,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1893,92,Exceptional,Hotel Ibis Budget Singapore Ruby - SG Clean,10,0,0,1,0
1894,93,Pleasant,Hotel Ibis Budget Singapore Ruby - SG Clean,6,1,0,0,0.5106
1895,94,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1896,95,Wonderful,Hotel Ibis Budget Singapore Ruby - SG Clean,9,1,0,0,0.5719
1897,96,Staff is not welcoming...,Hotel Ibis Budget Singapore Ruby - SG Clean,4.6,0,0,1,0
1898,97,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8,0.762,0,0.238,0.4927
1899,98,Very Good,Hotel Ibis Budget Singapore Ruby - SG Clean,8.3,0.762,0,0.238,0.4927
1900,99,Good,Hotel Ibis Budget Singapore Ruby - SG Clean,7,1,0,0,0.4404
1901,0,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1902,1,Poor,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",3,0,1,0,-0.4767
1903,2,Quite dissapointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",3,0,0,1,0
1904,3,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1905,4,Fair,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",5,1,0,0,0.3182
1906,5,Fair,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",5,1,0,0,0.3182
1907,6,"Good enough for a short stay, and quite cheap. You get what you pay for.","Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,0.178,0.086,0.736,0.3612
1908,7,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1909,8,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1910,9,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1911,10,Was good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.744,0,0.256,0.4404
1912,11,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1913,12,"Location is nice ! Easy access to many tourist spot like clarke quay, merlion, chinatown.","Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.436,0,0.564,0.8172
1914,13,Disappointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",4,0,1,0,-0.4939
1915,14,Disappointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",4,0,1,0,-0.4939
1916,15,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1917,16,Excellent,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8.8,1,0,0,0.5719
1918,17,Fair,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",5,1,0,0,0.3182
1919,18,Amazing weekend stay for couples!,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,0.506,0,0.494,0.6239
1920,19,No windows,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",1,0,0.688,0.312,-0.296
1921,20,Not a good night sleep.,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",5,0,0.445,0.555,-0.3412
1922,21,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1923,22,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1924,23,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1925,24,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1926,25,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1927,26,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1928,27,"Good value for money, excellent location for sightseeing.","Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,0.643,0,0.357,0.8402
1929,28,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1930,29,good staff service,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.592,0,0.408,0.4404
1931,30,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1932,31,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1933,32,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1934,33,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1935,34,Disappointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",4,0,1,0,-0.4939
1936,35,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1937,36,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1938,37,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1939,38,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1940,39,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1941,40,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1942,41,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1943,42,Disappointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",4,0,1,0,-0.4939
1944,43,Great location with great bed,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.732,0,0.268,0.8481
1945,44,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1946,45,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1947,46,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1948,47,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1949,48,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1950,49,Disappointing,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,0,1,0,-0.4939
1951,50,"Good rooms, good location, just dont get the room facing the road.","Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,0.367,0,0.633,0.7003
1952,51,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1953,52,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1954,53,"overall experience is OK, but had trouble requesting for invoice","Hotel The Quay Hotel (SG Clean, Staycation Approved)",5,0.145,0.263,0.592,-0.3784
1955,54,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1956,55,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1957,56,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1958,57,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1959,58,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1960,59,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1961,60,"Bedsheets were a little stained, and the tables were a bit dusty and had food stains on it. Customer","Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,0,0,1,0
1962,61,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1963,62,Not much channels,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,0,0,1,0
1964,63,Fun and wonderful...,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,0.623,0,0.377,0.5106
1965,64,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1966,65,Good view comfy stay,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.492,0,0.508,0.4404
1967,66,value for money,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,0.545,0,0.455,0.34
1968,67,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1969,68,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1970,69,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1971,70,Perfect hotel in the town area. Great stay if you want a hotel near the town.,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.431,0,0.569,0.8442
1972,71,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1973,72,Wonderful stay,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.787,0,0.213,0.5719
1974,73,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1975,74,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1976,75,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1977,76,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1978,77,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1979,78,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1980,79,Very Poor,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",2,0,0.772,0.228,-0.5256
